Index,Coments_norm,Estrelas SIA,Estrelas,Polarity Scores
16,impeccable restaurant ambience service tasty food plenty dishes two serve 3 people 4 everything delicious bill 2 211 ordered 1 starter 1 silver 2 1 caipirinha 1 juice cheap value fair offer,4,5,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.8126}"
17,food quality service staff good speed service time lunch shrimp gerimum strawberry good plenty us 7 us ordered different dishes file parmigiana ordered served common fetuccine christmas ordered rice best negative point tilapia risotto barely enough 2 people dish poorly served terms quantity although good flavor good dessert give 5 either,4,4,"{'neg': 0.06, 'neu': 0.683, 'pos': 0.257, 'compound': 0.9022}"
18,good dishes variety preparation prawns prawns delicious buffet options varied juices good,5,5,"{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.8591}"
19,super pleasant atmosphere service first spectacular food best gastronomic experience,5,5,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.9081}"
20,unit restaurant everything really incredible ordered teriyaki gratin wonderful desserts cocada maria beautiful supreme pistachio also delicious service renato exquisite polite service friendly cleanliness bathrooms also excellent everything good taste even napkins quality visiting christmas let go,5,5,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9779}"
21,everything restaurant perfect reception culinary environment friendly attentive service,5,5,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7845}"
22,good morning excellent service wonderful food wonderful waiter satisfied visit fair price,5,5,"{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.959}"
23,impeccable place great service tasty food well served ate golden shrimp sauce pure rice simply explosion flavor starter ordered best pastry shrimp catupiry ate unmissable shrimp spectacular restaurant matter dish always well served fresh good size tasty christmas miss classic restaurant,5,5,"{'neg': 0.03, 'neu': 0.618, 'pos': 0.352, 'compound': 0.9451}"
24,incredible place pleasant atmosphere lots variety dishes super attentive staff polite bathroom changing table clean,5,5,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.872}"
25,make mistakes always excellent order tasty dishes good service pleasant atmosphere always full families negative point always waiting lot people waiting table worth,4,5,"{'neg': 0.177, 'neu': 0.486, 'pos': 0.337, 'compound': 0.6808}"
26,never go wrong food excellent service good quantity ingredients first time took get line waiting everything went well,5,5,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.8821}"
27,arrive early drink clean water popular saying goes cameroon restaurants highly rated suggested city residents wait line need arrive early meal made quickly excellent cuisine good service fair price delicious coconut bamboo camarao ate fortaleza great experience,5,5,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.969}"
28,cameroon reference always suggested talk going visit christmas dinner saturday popular restaurant close beach waiting time queue 50 minutes decided go branch located av engenheiro roberto freire 300 meters away pleasant surprise queues well attended quickly cordiality great variety tasty dishes chose specialty home regret frequenting restaurant families understand chosen special occasions make good impression prices within acceptable consider even cheap travel region southeast usually pay lot appearance shrimps addition beautiful environment famous cuisine exploit customers offering parking customers courtesy welcome highly recommended,5,5,"{'neg': 0.052, 'neu': 0.619, 'pos': 0.33, 'compound': 0.9819}"
29,menu personality hearty dishes great place excellent service value money justifies recommending coming back often christmas,5,5,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.8807}"
30,good worth visit want write 100 characters liked restaurant like demanding evaluation,5,5,"{'neg': 0.098, 'neu': 0.311, 'pos': 0.591, 'compound': 0.8176}"
31,wonderful place everything good experience world visit ponta negra must besides well organized place beautiful clean great service prices fair compare amounts spent tours beaches taste spectacular food come ponta negra need experience,5,5,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.967}"
32,prawns good dish excellent fair price depending time day waiting line worth every time come christmas make point visiting,5,5,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.8689}"
33,already classic countless options shrimp fish seafood recommend golden sevengrain rice pure banana earth shrimps black tip cabugi international classic yesterday ate flower salt simply spectacular careful dishes huge give two people day international minus three yesterday six us ordered three dishes drinks still packaging take leftovers would serve one person spent 390 reais shrimp gift alfredo served top fettuccine alfredo sauce spectacular soooo many shrimp large shrimp macaroni curiosity restaurant appeared coconut bamboo took cooks copied original menu shrimp still follows better options dishes worth,4,5,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.9349}"
34,christmas trip wishes already gone cameroon sao paulo dream going christmas like franchises restaurants spread across brazil always want go head office apparently time surprises already like branches day week made reservation online large group already first big response everything organized bureaucracy arrived day confirmation part restaurant demonstrating professionalism attention physically beautiful restaurant pompous chic options cachacas logo entrance education host polite waiters super trained please customers sensational food came quickly plentiful price media drinks sensational desserts liking strong beer worth trying made point photographing part team worker lives salaries return work done well helps value ego reputation employer zero ten give 12 sensational,4,5,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.9861}"
35,super grace guys tremendous advertising people arrive huge expectations leave disappointed weak seasoning salt shrimp taste worth,4,3,"{'neg': 0.256, 'neu': 0.356, 'pos': 0.388, 'compound': 0.5719}"
36,environment ok service less lobster heart palm white sauce parmesan please palate average price another occasion know lucky choose dish,4,3,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.743}"
37,shame became tourist turned coconut bamboo started kids dish came back cold fries waiter already showed dish already appeared said understood suggested able finish seeing menu go back like 10 minutes ready ready hot like fast food waiter wanted helpful poor guy arrived annoying every 2 minutes came ask everything liked finally regretted restaurant already good became commercial attraction tourists,4,3,"{'neg': 0.144, 'neu': 0.588, 'pos': 0.269, 'compound': 0.8402}"
38,hesitate come christmas meet us ask good muqueca always crowded place waits tables pleasant atmosphere,4,5,"{'neg': 0.103, 'neu': 0.591, 'pos': 0.305, 'compound': 0.6249}"
39,second time disappointing ordered imperial shrimp small shrimp tooth flour starch corndizian catupiry accompanied full rice bacon match worse shrimp still loaded ordered hidden strong cloying nothing light salad appetizer mozzarella bufalaque sundried tomato salad last left feeling sick worse account 28000,1,1,"{'neg': 0.237, 'neu': 0.673, 'pos': 0.09, 'compound': -0.836}"
40,delicious food varied dishes shrimp seafood meat eat excellent value money service exceptional structure,5,5,"{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.8689}"
41,first day dinner due located edge ponta negra wonderful loved place service today located hotel praiamar excellent,5,5,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9062}"
42,fresh food tasty caipirinha caja surreal good dishes also surreal good price expensive,5,5,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7964}"
43,restaurant simply perfect best dessert ever simple delicious recommend romeo juliet,5,5,"{'neg': 0.0, 'neu': 0.332, 'pos': 0.668, 'compound': 0.9337}"
44,spectacular food hearty dish two people eat well great option lunch dinner differentiated service reception even super attentive waiters,5,5,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.8779}"
45,restaurant good value money excellent tasty dishes highly recommend returning ponta negra go,5,5,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.8955}"
46,shrimps celebrate friend birthday thursday 20 people table service left something desired plus ordered serious dish think ever eaten dish really like,5,2,"{'neg': 0.043, 'neu': 0.565, 'pos': 0.392, 'compound': 0.8883}"
47,good food good price comrade shrimp p2ps r120 nice atmosphere favorite food portion shrimp sesame christmas 2 restaurants chain close another one ponta negra go 2,5,5,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.891}"
48,wonderful restaurant comfort quality excellent service highly recommend event times year,5,5,"{'neg': 0.0, 'neu': 0.355, 'pos': 0.645, 'compound': 0.9134}"
49,beautiful restaurant imposing varied menu well served dishes even better price great noise also excellent gather family friends couple looking calm intimate atmosphere recommend great restaurant,5,4,"{'neg': 0.03, 'neu': 0.347, 'pos': 0.623, 'compound': 0.9805}"
50,food wonderful environments business get early gets crowded worth experience,4,5,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6808}"
51,impeccable service pleasant atmosphere incredible food best restaurant christmas waiting time drink,5,5,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.8176}"
52,restaurant impeccable service delicious food everything well taken care enchanting customers decoration cozy atmosphere,5,5,"{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.8402}"
53,splendid everything perfect excellent service fabio quick orders delicious affordable price worth,5,5,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.9501}"
54,almost everything perfect forgot brownie counter ok food good drink ok think waiter training solves questions,5,4,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.8962}"
55,divine tasty food beautiful environment impeccable service fair price worth,5,5,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.8934}"
56,food tasty photos local advertising equivalent menu correspond reality two days row thought could unlucky first time first day ordered shrimp dish came well served pasta little protein neutral flavor second day ordered file came disappointing shape,3,1,"{'neg': 0.079, 'neu': 0.868, 'pos': 0.052, 'compound': -0.2732}"
57,shrimp risotto well served 2 people calm environment dish take long arrive waiter friendly,5,5,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.765}"
58,come restaurant 20 years little disappointed would like eat fish good sauce shrimp speak good speak whiting grouper sole tilapia remember red meat found octopus dish bad regretted fact good fish,3,4,"{'neg': 0.203, 'neu': 0.547, 'pos': 0.249, 'compound': 0.2568}"
59,excellent service refined tasty menu return minas recommending fair price varied menu,5,5,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.7184}"
60,wonderful food diversity menu like doubts choosing many good options thank robson ferreira served well gave great suggestions dinner drinks also great food arrived quickly recommend,5,5,"{'neg': 0.05, 'neu': 0.39, 'pos': 0.56, 'compound': 0.969}"
61,previous trip recommended restaurant time time good reserved time extremely pleasant place exceptional service vinicius delicious menu fair price,5,5,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.923}"
62,good service perfect food impeccable christmas 2 nights two dinner shrimps good tried imperial shrimp shrimp hidden chef dried meat pistachio pie everything good tasty dishes well served size 2 serves well 3 people congratulations,5,5,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.9612}"
63,super cozy restaurant wide menu full flavor pork dishes super well served impeccable service fair price,5,5,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9042}"
64,toa recommended restaurant christmasbeautiful cozy atmosphere polite staffespecially fabiowho served spectacular foodwe ordered starter caprese shrimp main course shrimp gratinboth deliciousfair price impeccable servicewe definitely back,4,5,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.5423}"
65,wonderful restaurant impeccable food perfect service dinner 3 times trip 5 days recommend,5,5,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.872}"
66,fast effective service carnival season booking anyway arrived 1930h wait seated left restaurant around 2100h realized lots people waiting get early want wait excellent food good quality well served fair value took photo good dessert,5,5,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.9565}"
67,super attentive service mocha first service waiters super good people attentive worth price paid,5,5,"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.9118}"
68,everything exceptional starter dadinho shrimp main course super tasty cocada dessert best dinner impeccable good price,5,5,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.9001}"
69,mae ordered dish corner mangrove shrimp rice crab 2 people serves 3 people quiet delicious food wonderful service super delicious atmosphere,5,5,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.9432}"
70,amazing place great service excellent atmosphere food delicious well prepared,5,5,"{'neg': 0.0, 'neu': 0.172, 'pos': 0.828, 'compound': 0.9601}"
71,best shrimps ever eaten life unity beach ponte negra queue wait get much wait quick service amazing food bad miss homeland,4,5,"{'neg': 0.169, 'neu': 0.565, 'pos': 0.266, 'compound': 0.5994}"
72,unit mall natal self service spectacular everything best quality spectacular shrimp besides declaring recommend going,5,5,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.7717}"
73,everything perfect service rating millllll waiter fabio words praise service wonderful food everything fast show,5,5,"{'neg': 0.0, 'neu': 0.522, 'pos': 0.478, 'compound': 0.9001}"
74,best restaurant eat shrimps,4,5,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}"
75,restaurant full reason delicious food dishes plentiful great prices despite recommending serves two people eat calmly four ate dish risotto graded prawns breaded stuffed catupiry recommend would definitely go back,5,5,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.936}"
76,restaurant served inspiration coco bamboo nau dishes flavor well served cheap restaurants excellent service,5,5,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.8481}"
77,tasty delicious food international shrimp delicious friends couples left satisfied,5,5,"{'neg': 0.0, 'neu': 0.311, 'pos': 0.689, 'compound': 0.9231}"
78,super recommended clean place cozy tasty food friendly service exclusive end point beautiful bathroom demonstrates quality place clean bathroom check kitchen fear,5,5,"{'neg': 0.087, 'neu': 0.379, 'pos': 0.534, 'compound': 0.9382}"
79,starter croquettes pastel shrimp main course breaded shrimp catupiry dish 2 people ate 3 would 4 tasty pleasant atmosphere arrive early tables busy,4,5,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.5106}"
80,great experience beautiful environment cold even place covered area children everything asked came well served delicious quickly super welltrained staff congratulations,5,5,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.9705}"
81,like repeat great location impeccable service generous portions fair prices excellent option city,5,5,"{'neg': 0.0, 'neu': 0.335, 'pos': 0.665, 'compound': 0.9423}"
82,beautiful place well decorated attentive staff waiting fruit served thought interesting delicious neat dishes let go,5,5,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.9371}"
83,excellent perfect location environment staff food everything good professionals come christmas miss,5,5,"{'neg': 0.08, 'neu': 0.402, 'pos': 0.518, 'compound': 0.8658}"
84,wonderful exceptional service short waiting time delicious food super recommend ordered starter main course dessert everything great,5,5,"{'neg': 0.0, 'neu': 0.401, 'pos': 0.599, 'compound': 0.9578}"
85,restaurant today 1112024 lunch period indication already enjoying trip holidays beaches rio grande norte everything impeccable service ambience music food drink found price fair dishes well served ordered starter black tip shrimp stuffed catupiry divine main course dijon shrimp closed dessert coconut ice cream wonderful tapioca definitely recommend,5,5,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.9678}"
86,good service delicious food high number customers establishment take long deliver order really surprised,5,5,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.8439}"
87,delicious ordered bruschetta potiguar croquette shrimp starter followed shrimp served romeo julieta dessert everything delicious back try new flavors,4,5,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.8126}"
88,status place deliver everything already offers restaurants better dishes including noncoastal cities wait table 1h30 definitely worth terrible hibiscus tea lol,5,3,"{'neg': 0.105, 'neu': 0.544, 'pos': 0.35, 'compound': 0.7351}"
89,great rating incredible food fair price plentiful portions impeccable service waiter robson ordered shrimp italian bread cheese sauce pastel shrimp starter perfect words best shrimp ever eaten life,5,5,"{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.936}"
90,first january dinner restaurant positive reviews tryp arrived 18 30 already many people waiting 10 minutes already directed table ordered starter pastry dried meat cheese exceptional main course ordered shrimp served dish delicious northeastern taste dessert cocada tapioca ice cream tasty food attentive service cuts cost excellent benefit considering quality ate fair prices spacious environment well located would come back,4,5,"{'neg': 0.03, 'neu': 0.72, 'pos': 0.25, 'compound': 0.9451}"
91,divine food great value money great value wonderful food busy good idea get early,5,5,"{'neg': 0.0, 'neu': 0.232, 'pos': 0.768, 'compound': 0.9726}"
92,good food impeccable service well served dishes visited december waited table time worth worth visiting region,5,5,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.7783}"
93,excellent place great service perfect food super polite attendant alyson great service,5,5,"{'neg': 0.0, 'neu': 0.264, 'pos': 0.736, 'compound': 0.9661}"
94,service wonderful food arrived around 7pm wait worth fair price great quality,5,5,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.9001}"
95,tasty food options dishes exotic flavor service rating 10 always come back christmas,3,5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96,excellent option lunch dish 2 people well served service waiters team price expected range restaurant quality service,4,5,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.7003}"
97,already knew returned believe better service remains excellent dishes dropped quality table 8 people 5 thought impression could better although say bad,5,4,"{'neg': 0.117, 'neu': 0.502, 'pos': 0.381, 'compound': 0.7845}"
98,wonderful experience great service perfect food corresponding prices quality left great impression,5,5,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.9552}"
99,restaurant combo wonderful things food excellent service also ambience way come christmas need go sensational price worth every penny come prepared eat couple ordered starter ceviche dish two imperial prawns left people eating well room dessert left delighted great service waiter dario sparkling excellent house would also come back congratulations,5,5,"{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.9826}"
100,sensational place wonderful food super well served dessert never tried life taca romeo julieta highly recommend waiter fabio super kind friendly incredible experience,5,5,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.9719}"
101,good service wonderful food good value money incredible experience place would definitely come back,5,5,"{'neg': 0.0, 'neu': 0.381, 'pos': 0.619, 'compound': 0.9274}"
102,excellent place excellent structure food quality great service highly recommend event time year,5,5,"{'neg': 0.0, 'neu': 0.386, 'pos': 0.614, 'compound': 0.9359}"
103,wonderful place food excellent service could better received fabio impeccable good experience returned two,5,5,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.9217}"
104,amazing restaurant service space food complain price highly recommend,4,5,"{'neg': 0.166, 'neu': 0.398, 'pos': 0.437, 'compound': 0.624}"
105,restaurant good spacious atmosphere comfortable friendly waiters helpful tasty food dishes came quickly,5,5,"{'neg': 0.0, 'neu': 0.425, 'pos': 0.575, 'compound': 0.9042}"
106,perfect service airconditioned location accessible food waiters attentive kind always willing serve sai rio directions visit shrimps understand highly recommend,5,5,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.8718}"
107,best restaurant christmas best international shrimp ever tried excellent service quick agility well served dishes ordered 4 people even leftovers surprised prices dishes website access menu prices ate places christmas worth price sure leave satisfied,5,5,"{'neg': 0.024, 'neu': 0.507, 'pos': 0.469, 'compound': 0.9678}"
108,food dishes extremely well served good worth fame organized environment pleasant service great service,5,5,"{'neg': 0.0, 'neu': 0.311, 'pos': 0.689, 'compound': 0.9498}"
109,good restaurant fair price incredible dessert fast service finishing dishes delicious food,5,5,"{'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.836}"
110,good food dish 2 people problems 3 dish shrimp worth pastel shrimp starter super tasty stuffed meat sun medium dry overall atmosphere food rating 10,4,5,"{'neg': 0.089, 'neu': 0.625, 'pos': 0.286, 'compound': 0.7184}"
111,excellent service waiter jackson divine main course dessert romeo juliet normal ok,5,5,"{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.8591}"
112,excellent choice beautiful restaurant kind staff excellent food quality fair prices,5,5,"{'neg': 0.0, 'neu': 0.261, 'pos': 0.739, 'compound': 0.9517}"
113,word sums excellent luxurious good taste tasty fair cost offer free parking good,5,5,"{'neg': 0.0, 'neu': 0.346, 'pos': 0.654, 'compound': 0.9337}"
114,unmissable going christmas miss dinner cameroon restaurant excellent service pleasant atmosphere sensational food,5,5,"{'neg': 0.086, 'neu': 0.538, 'pos': 0.376, 'compound': 0.7506}"
115,best restaurant ate christmas made reservation busy pleasant atmosphere beautiful staff extremely polite friendly dish served carefully quickly wonderful food easily served three four people menu partly served two people really worth visiting another day asked another dish delivered hotel came well served well packaged hot delivery loved,5,5,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.9845}"
116,excellent dish imperial shrimp best shrimp ever eaten look like shrimp lol boss likes wanting eat kids liked,5,5,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.9571}"
117,excellent value money extremely pleasant environment first time service definitely back one day,5,5,"{'neg': 0.0, 'neu': 0.421, 'pos': 0.579, 'compound': 0.908}"
118,wonderful restaurant dessert reception everything spectacular super quiet price compared others offer half much,5,5,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.8225}"
119,restaurant camaroes top family service given waiter cleber need recommend dish shrimp bonfimclaro taste better pastel camarao galaxia finish cup ice cream romeo julieta,4,5,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.7351}"
120,excellent everything parking security noticed daughter difficulties getting around sent space close service restaurant also great food comments required,5,5,"{'neg': 0.08, 'neu': 0.547, 'pos': 0.372, 'compound': 0.8402}"
121,amazing restaurant get early wait line 2 nights week great,5,5,"{'neg': 0.0, 'neu': 0.47, 'pos': 0.53, 'compound': 0.836}"
122,best restaurants serving seafood dishes shrimp quality incredible flavor visit natalrn miss restaurant impeccable service,4,5,"{'neg': 0.085, 'neu': 0.691, 'pos': 0.223, 'compound': 0.5574}"
123,excellent restaurant location service dishes wines everything perfect recommend couples also place meet friends,5,5,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.9186}"
124,cool place delicious food plenty great service fair prices lunch alone dishes two people made individual dishes menu great options,5,5,"{'neg': 0.062, 'neu': 0.431, 'pos': 0.508, 'compound': 0.9382}"
125,beautiful place good service crowded dinner better make reservation sophisticated quiet lunch dishes well served worth price,5,5,"{'neg': 0.0, 'neu': 0.389, 'pos': 0.611, 'compound': 0.946}"
126,good food impeccable service beautiful structure incredible prices mistake choosing place enjoy regional cuisine,5,5,"{'neg': 0.107, 'neu': 0.446, 'pos': 0.446, 'compound': 0.8225}"
127,restaurant good structure easily accommodates high demand wellrequested waiting time long dishes served exceptional delicious emphasizing local cuisine giving great experience terms flavors even vegan options despite restaurant focusing seafood end fair price meal starter main course drinks dessert house 120 reais worth visit,5,5,"{'neg': 0.026, 'neu': 0.629, 'pos': 0.344, 'compound': 0.9531}"
128,place go want go back delicious super fast service,5,5,"{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.836}"
129,wife restaurant date 19081990 opportunity ordered croquette shrimp marmalade red fruits wonderful main course ordered lobster much dish think could shrimp proportion quantity rice served addition restaurant excellent service,4,5,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.8807}"
130,delicious place food best shrimp service great dish well served starter pastel carne sol delicious,5,5,"{'neg': 0.0, 'neu': 0.36, 'pos': 0.64, 'compound': 0.9571}"
131,best seafood moqueca ever eaten excellent restaurant full care accessibility friendly service wonderful food beautiful women bathroom,5,5,"{'neg': 0.0, 'neu': 0.334, 'pos': 0.666, 'compound': 0.9716}"
132,delicious food pleasant atmosphere great service drinks cafe everything wonderful beautiful decor,5,5,"{'neg': 0.0, 'neu': 0.272, 'pos': 0.728, 'compound': 0.9623}"
133,great restaurant ponta negra natal rn quality service fair prices great atmosphere parking well located great variety dishes high quality recommend years improved,5,5,"{'neg': 0.0, 'neu': 0.418, 'pos': 0.582, 'compound': 0.9694}"
134,restaurant opens 1830 already people waiting quick service efficient attentive well served meals serve two people simple comfortable environment,5,5,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.802}"
135,friendly service family atmosphere cuisine respect shrimp catupiry 7 wonders world back,5,5,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.743}"
136,great recommend dishes everything great wonderful attention definitely back,5,5,"{'neg': 0.0, 'neu': 0.19, 'pos': 0.81, 'compound': 0.9524}"
137,amazing beautiful restaurant attentive helpful staff delicious food 2 times dinner restaurant ponta negra 1 time lunch shopping best christmas obs dinner queue waiting july possible make reservation cool space waiting order drinks starters,5,5,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.967}"
138,wonderful restaurant impeccable food fair price excellent service indispensable eat shrimp pastry starter miss trying better dijon shrimp dish,5,5,"{'neg': 0.057, 'neu': 0.496, 'pos': 0.447, 'compound': 0.9001}"
139,phenomenal shrimp next time arrive early get 1 hour queue minimum like restaurant queue waiting fun well served lounge waiting sit order drinks efficient organization dishes arrive quickly also delicious,5,5,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.9246}"
140,good wonderful food fast service traditional christmas worth going however dripping fire close good another option ois self service,5,5,"{'neg': 0.086, 'neu': 0.504, 'pos': 0.41, 'compound': 0.8402}"
